SESSION NAME:	MKR S15 TX01.r
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:58:00:00
TIMECODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	90
# OF AUDIO CLIPS:	22766
# OF AUDIO FILES:	8169


T R A C K  L I S T I N G
TRACK NAME:	MUSIC 1 (Stereo)
COMMENTS:	
USER DELAY:	0 Samples
STATE: 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	123     	MKRS12_COOKING JEOPARDY_HOT KITCHEN_1103v2_RC_FULL.wav.wav.new.01-02.A1	   01:43:35:09	   01:44:06:11	   00:00:31:02	Unmuted
1       	124     	02 - Giving Nothing Away - D Phillipson - ALSO009.wav.new.01_01-03.A1	   01:44:09:19	   01:44:13:24	   00:00:04:05	Unmuted
1       	125     	02 - Giving Nothing Away - D Phillipson - ALSO009.wav.new.02_01-03.A1	   01:44:13:24	   01:44:25:14	   00:00:11:15	Unmuted
1       	126     	02 - Giving Nothing Away - D Phillipson - ALSO009.wav.new.03_01-03.A1	   01:44:25:14	   01:44:30:12	   00:00:04:23	Unmuted
1       	127     	MKR11_DRAMA_801_MS_FULL.wav.new.03_01-04.A1	   01:44:48:05	   01:44:56:22	   00:00:08:17	Unmuted
1       	128     	MKR11_DRAMA_801_MS_FULL.wav.new.03_01-05.A1	   01:44:56:22	   01:45:24:06	   00:00:27:09	Unmuted
1       	129     	MKRS12_TENSION_UNRAVELLING_v2_215_DH_FULL.wav.wav.new.02_01-04.A1	   01:45:39:00	   01:45:49:14	   00:00:10:14	Unmuted
1       	130     	MKRS12_POS COOKING_PERFECT TIMING_604_CT_FULL.wav.wav.new.02-02.A1	   01:46:10:07	   01:46:18:08	   00:00:08:01	Unmuted
1       	131     	DED0188_01 TENSION AND TASKING STRINGS (A).WAV.new.01_01-06.A1	   01:46:30:23	   01:47:34:06	   00:01:03:08	Unmuted
1       	132     	MKRS12_TENSION_SOMETHINGS WRONG_214_DH_FULL.wav.wav.new.01_01-19.A1	   01:47:36:10	   01:47:56:22	   00:00:20:12	Unmuted
1       	133     	22 - Quid Pro Quo - B Hayden, J Murray - MX456.wav.new.01_02-04.A1	   01:49:09:03	   01:49:39:04	   00:00:30:01	Unmuted
1       	134     	32 - A Tense Situation (Underscore) - P Ruske - DBX003.wav.Copy.01.new.01_01-03.A1	   01:49:39:09	   01:49:50:07	   00:00:10:23	Unmuted
1       	135     	TRL0184_09_2 ONE EYE OPEN_INSTRUMENTAL.WAV.new.02_01-09.A1	   01:50:01:24	   01:50:23:07	   00:00:21:08	Unmuted
1       	136     	TRL0184_09_2 ONE EYE OPEN_INSTRUMENTAL.WAV.new.02_01-10.A1	   01:50:24:12	   01:50:43:11	   00:00:18:24	Unmuted
1       	137     	MKRS12_COOK_SASSYCHEFS_703v2_AS_FULL.wav.wav.new.02_01-05.A1	   01:50:55:13	   01:51:12:08	   00:00:16:20	Unmuted
1       	138     	UPM_FRX38_7_Outrunning_the_Odds_Instrumental_Yates_1427287.wav.new.01_01-07.A1	   01:52:10:12	   01:52:11:10	   00:00:00:23	Unmuted
1       	139     	UPM_FRX38_7_Outrunning_the_Odds_Instrumental_Yates_1427287.wav.new.01_01-06.A1	   01:52:11:10	   01:52:33:06	   00:00:21:21	Unmuted
1       	140     	WESTONE_017_TICKING_TENSION_(A)_TOM_HOWE_(PRS)_WOMG043_West_One_Music_Limited.wav.new.01_01-15.A1	   01:52:55:01	   01:52:55:11	   00:00:00:10	Unmuted
1       	141     	WESTONE_017_TICKING_TENSION_(A)_TOM_HOWE_(PRS)_WOMG043_West_One_Music_Limited.wav.new.01_01-11.A1	   01:52:55:11	   01:53:10:00	   00:00:14:14	Unmuted
1       	142     	10 - Conserve - R Chorzelski - RSM440.wav.new.03_01-07.A1	   01:53:10:11	   01:53:18:18	   00:00:08:07	Unmuted
1       	143     	01 - Building Tension - P Ruske - DBX003.wav.Copy.01.new.01_01-03.A1	   01:54:01:18	   01:54:32:15	   00:00:30:22	Unmuted
1       	144     	21 - Dominion - M Noguer - BXMT023.wav.new.01_01-04.A1	   01:54:34:02	   01:54:37:17	   00:00:03:15	Unmuted
1       	145     	21 - Dominion - M Noguer - BXMT023.wav.new.01_01-05.A1	   01:54:37:17	   01:54:47:19	   00:00:10:02	Unmuted
1       	146     	21 - Dominion - M Noguer - BXMT023.wav.new.02_01-05.A1	   01:55:05:06	   01:55:09:10	   00:00:04:04	Unmuted
1       	147     	TRL0195_04 MISSION DAY.WAV.new.01-03.A1	   01:55:11:10	   01:55:25:24	   00:00:14:14	Unmuted
1       	148     	05 - Game Show Showdown - A Deeping - CRB105.wav.new.01-04.A1	   01:55:52:21	   01:55:58:03	   00:00:05:07	Unmuted
1       	149     	WESTONE_009_FEEL_THE_TENSION_(A)_ZAC_JORDAN_(PRS)_TSH259_The_Scoring_House.wav.new.01_01-03.A1	   01:56:03:22	   01:56:29:00	   00:00:25:03	Unmuted
